foodatlas_id	source	reference	entity_linking_method	_chemical_name	_flavor_name
mf78	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=439242'}	id_matching	PUBCHEM_COMPOUND:439242	sweet
mf79	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=971'}	id_matching	PUBCHEM_COMPOUND:971	odorless.
mf80	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=446925'}	id_matching	PUBCHEM_COMPOUND:446925	balsam
mf81	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=446925'}	id_matching	PUBCHEM_COMPOUND:446925	oriental
mf82	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=6106'}	id_matching	PUBCHEM_COMPOUND:6106	bitter
mf83	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=6106'}	id_matching	PUBCHEM_COMPOUND:6106	odorless
mf84	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=6134'}	id_matching	PUBCHEM_COMPOUND:6134	sweet
mf85	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=6134'}	id_matching	PUBCHEM_COMPOUND:6134	odorless
mf86	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=6140'}	id_matching	PUBCHEM_COMPOUND:6140	bitter
mf87	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=6140'}	id_matching	PUBCHEM_COMPOUND:6140	slight
mf88	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=6140'}	id_matching	PUBCHEM_COMPOUND:6140	odorless
mf89	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=5280343'}	id_matching	PUBCHEM_COMPOUND:5280343	bitter
mf90	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=6041'}	id_matching	PUBCHEM_COMPOUND:6041	bitter
mf91	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=445639'}	id_matching	PUBCHEM_COMPOUND:445639	fat
mf92	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=445639'}	id_matching	PUBCHEM_COMPOUND:445639	fried
mf93	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=445639'}	id_matching	PUBCHEM_COMPOUND:445639	waxy
mf94	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=445639'}	id_matching	PUBCHEM_COMPOUND:445639	fatty
mf95	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=445639'}	id_matching	PUBCHEM_COMPOUND:445639	peculiar lard-like taste
mf96	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=445639'}	id_matching	PUBCHEM_COMPOUND:445639	peculiar lard-like odor
mf97	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=445639'}	id_matching	PUBCHEM_COMPOUND:445639	faint
mf98	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=445639'}	id_matching	PUBCHEM_COMPOUND:445639	lard
mf99	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=802'}	id_matching	PUBCHEM_COMPOUND:802	sour
mf100	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=802'}	id_matching	PUBCHEM_COMPOUND:802	mild
mf101	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=802'}	id_matching	PUBCHEM_COMPOUND:802	odorless
